Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,,,,,,,-1.8407479991158944,-2.0029719233905356,-2.14733333416438,-1.8658217033095226,-1.9261533706706926,-1.9240550649903707,-2.0861399588379435,-2.2129851444760313,-2.2716516810628224,-2.313171086497093,-2.296947482596187,-2.3592527741679707,-2.477872078831041,0.24869577169646037,-0.5226331648783269,-0.9042754930713548,-1.1047892381947417
ALB,-0.7311011017225276,-2.021352099424523,-1.7125981666226948,,-1.591516624513619,-1.7238593541747507,-1.82930486474536,-1.6774270056124443,-1.1849256438632674,-1.5975460827225425,-1.3714911613988585,-1.3045357325564002,-1.3088222506246894,-0.6792348216970812,-0.21029929257892477,-0.759958830834177,-0.9541233008006266,-0.756835070059614,-0.697172733108978,-0.16095328199265746,-0.39695766878080224,-0.27854081205052034,-0.38731016600868284
DZA,0.08679198934002318,0.1498814355194308,-0.4807307408955056,-0.4496526802622564,-0.5976082485616984,-0.3493847664161792,-0.20738731770990765,0.44311117780960896,0.3892090564510723,0.3402635019653115,0.5822439713440578,0.4850080245959991,0.43133588899073416,0.5438773350872456,0.5663596687923336,0.5378055739241102,0.6376421091169496,0.510640635901931,0.687752308486003,-1.7918674087080437,-1.2700777936696235,-1.2132268894042193,-0.9407507380384991
AGO,,,,,,,,-2.029006384771174,-2.1473333341643763,-2.159213860607743,-2.2057909401892197,-2.2093652096405156,-1.671073435118455,-1.2706559078809774,-1.780192633367302,-1.803955782045979,-1.9154839476732641,-1.8239146398646027,-1.6096724944807115,0.19879840584847952,-0.5914609129433474,-0.8575973270534042,-1.2669809790910525
ARG,0.4417462524628784,0.46099212127994,0.4089509005796068,0.37368930756450736,0.34558228361396304,0.4092225888398961,0.4312939198480175,0.4375065473105446,0.40115224032167995,0.4744965153890542,0.4504303588319793,0.4745099965998007,0.5051088198533934,0.5228974880125309,0.5771494213293261,0.6041817619163947,0.5555722223542277,0.6237848383989366,0.6412980100453733,0.8085878401365358,1.1001957601464634,1.0427578791262917,1.1553746158381366
ARM,-0.1514019328697017,-0.02543878409268213,-0.7570064968613637,-0.9540681047551891,-1.0832431668246085,-0.8443442038543516,-0.7580055445975687,-0.13911405212971498,0.07247242516669324,-0.06087155884419955,0.28681752855909803,0.1562201296058014,-0.09463513289898334,0.21138105570958138,0.16823608511035534,0.20541358096601836,0.2141225735096154,-0.004666062956418324,-0.0077317351452244375,-0.8879738361729317,-0.6306357941674646,-0.5042794694363123,-0.5181945366339082
AUS,2.024319404310416,1.9521567563049211,2.5454803797364693,2.649421086946916,2.7365509272796045,2.521068291180907,2.429658517051851,1.9341597786039884,1.867310670175627,1.8443629213913812,1.561927120904206,1.7009462093003183,1.7941158839525053,1.65797068971137,1.5900473913874005,1.5512421483891814,1.4443113907435035,1.541876924611708,1.2904760816644432,2.1003410085267724,2.2007703957117166,2.2086193012002253,2.171688745046459
AUT,1.2728591622415193,1.244786977472631,1.3147128641454622,1.3860511121746864,1.3671517473369361,1.4429246973753604,1.4104348626036884,1.326592186515825,1.2856849945344242,1.275326525555978,1.241175932889382,1.2351049135776213,1.3126493660370409,1.237348793402267,1.2618094431458124,1.2068168034126483,1.1785749109482564,1.1667592322434384,1.1406300614472649,1.0573077706037184,1.529553438774998,1.7259828217820692,1.646949471437335
AZE,-0.6788039460477032,-0.70896132043693,-1.129292627807961,-1.5041511409982968,-1.6341634159788403,-1.1369251793367408,-0.978040501748377,-0.26532327724502375,-0.23437105695114674,-0.045616688741032266,0.10936877571640573,0.0736352480292095,-0.1681101287941071,-0.020608548652717933,0.08972211687276974,0.20222571043374743,0.3200923134433579,0.24365388661813334,0.4124290675109549,-2.4677474727251374,-1.9461052553638947,-1.6095594742957318,-1.2863636686409277
BHR,-0.5661781878633755,-0.6231220861636567,-0.7380387290056801,-1.0449061752736293,-1.1159500421529847,-1.3283771844692225,-0.9301034446290047,-0.38809206059129714,-0.13953579114456333,-0.06728950298656612,0.289904187609604,0.25822018507150146,0.22518330752090673,0.3824396538702266,0.38512803765271075,0.08705466369220616,0.14677040510595693,0.11528177415589981,0.10195241997208192,-1.314816616785468,-1.2178485577345035,-1.2684888974918094,-1.0039372883935482
