Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BFA,288748142.0,287071213.0,291003920.25,288047086.0,339287921.5,430063179.5,508810606.75,515367549.75,580243902.25,605647026.5,723911977.5,1061812865.0,1571813262.0,2404514258.75,3163236861.75,3643148824.5,3833377560.75,3854230350.0,4091624980.0,4604200484.25,5214313953.75,6232571312.5,7234249297.75
KHM,691339774.0,1161239757.75,1634317152.5,2216565149.25,2786863280.5,3346259605.75,3918846275.5,4532943250.25,5233073303.0,5844667481.75,6463418903.0,7296366171.5,8486078823.0,9567635117.75,10858669263.25,12252488905.75,13550178235.0,15516445897.75,17394807751.5,19350244944.75,22192237999.75,24576788195.0,26420507076.75
CMR,2083576081.5,2109492517.0,2010467918.25,2077819484.0,2285432954.0,2463565981.0,2881985104.5,3442196731.75,4093939614.5,4732403614.25,4696871660.25,4747446495.75,4565168648.5,4424477869.5,4965910838.25,5296518587.25,5360810848.5,5059662334.0,4713163401.75,4380903830.75,4483501355.75,4521104515.75,4662050522.25
CAN,212954605752.25,229590521870.25,239354643889.25,247548447440.0,255116835817.0,264617416368.5,289008421391.5,322485353921.5,359092181840.25,393774128918.25,383333712793.25,384509866607.5,393293218284.25,393727767005.0,429980953410.25,451569086301.25,440040315555.5,421888448443.75,409017918801.5,401726181123.0,410170931390.25,409677492699.5,430715195169.25
TCD,120726560.75,115475507.5,101989416.25,85206811.25,81338139.0,365365952.25,828123779.0,1363640014.5,1895463455.75,2455045024.75,2475516778.75,2616748637.5,2910468470.0,2770929934.75,2981735656.5,3001831908.75,2690632770.75,2341861578.5,1927599778.5,1589929567.75,1350513331.5,1352271048.5,1729083226.25
CHL,16243503140.25,16772468977.5,17194564758.25,17835140110.0,19426694662.5,23270613940.75,29205069144.0,39897355812.25,51879223831.5,59989642622.75,63560190732.5,66576720718.0,69803926051.0,73065715654.5,78384153478.25,79482490285.5,74628839103.5,70312452600.75,68330825541.0,68282757096.25,70117491000.5,73426215424.25,79868867121.75
CHN,218003937456.0,247396163889.25,273233424901.75,315581312198.0,382491777851.0,476474645112.0,610045284253.75,779562342730.25,985709876056.25,1203310129462.5,1318033351897.5,1475717545747.75,1641417344211.25,1782202108920.0,2004822364099.5,2174477315405.25,2254539513946.75,2272500452331.5,2319964045334.25,2376860824541.0,2440836271316.5,2556611729002.25,2791972113823.0
COL,11782000275.5,12421122749.0,12617132662.25,12893337283.75,13300512532.5,14268457243.0,16726877250.0,20019068576.5,24703006107.0,30403049844.25,33608721896.25,37650276279.25,44730196124.5,50440739060.75,56604638254.25,60170019909.0,54169002121.5,46393434670.75,41049109117.0,37841253165.25,38730312617.25,38746442207.25,39659503355.75
CRI,5188392410.75,5888767327.5,6188338864.5,6357362433.75,6644494003.0,7016613950.0,7780487616.5,8397857956.75,9121866538.5,10026425504.0,10075837601.75,10735455847.75,11281886365.25,12218591919.25,13868099281.0,14579867177.25,14031291007.25,13214666063.5,12511791387.75,12143676516.5,12644826813.0,13160442682.25,14045922669.0
CIV,4934586142.75,4754735254.0,4603599268.75,4730673676.5,4941419416.25,5678132198.75,6568758900.5,7322532215.75,8013941668.75,8843740673.5,9618174378.5,10279097928.75,11158592602.75,11509812765.5,12494998243.75,13185646856.0,13548423531.5,13616227755.0,13306279957.25,13017311341.75,13047440206.5,13430781037.5,13146168876.5
HRV,4780710441.25,4761005716.75,4862614026.75,4944198544.5,5401954980.25,6365707221.25,7438288886.0,8921987484.5,10609189052.75,12210385731.25,12720252745.0,13138367353.5,13521102854.25,13051456932.0,13556530277.0,14234925542.5,13909956376.0,14228142796.75,14979210168.25,15542472727.5,16573234164.5,17380475836.5,18984853486.75
CUB,1601280424.75,1704560914.75,1814516297.75,1955233675.5,1996956503.75,2158546383.0,2317517192.5,2322463642.75,2355348801.0,2208412465.25,1984510074.0,2029577327.25,2186837941.75,2241951286.25,2405627546.25,2312969827.5,1953810291.25,1667086297.25,1434095196.0,1322949806.5,1277125378.75,1271099632.5,1169061336.5
CYP,1517868563.25,1372363059.5,1343725254.5,1307116007.75,1338079543.25,1495576781.25,1751227189.25,2303430696.5,2861446580.5,3329600894.25,3423728838.5,3448681239.0,3755820008.0,4190694725.0,4903510854.0,5324001689.0,5340629483.5,4961286571.5,4687677902.5,4814186483.0,4659532205.5,4723959286.5,4890717792.5
CZE,25597796348.75,27414605042.25,30082293738.0,33945411527.25,39473295076.25,48462354475.0,59255911794.0,71704601026.0,89629475495.5,108891191755.5,117443824323.5,126387786450.0,136626262984.5,139923114010.5,152516215416.25,163658972240.75,162436439110.75,163760917383.5,168690749213.75,175515543979.5,185747627593.75,192911042700.25,203650237085.0
COD,1248011562.5,1146339749.25,1107964044.5,1202489223.0,1180371132.25,1187081613.5,1263654257.0,1270624518.75,1521498128.0,2136215675.25,2450077105.75,3432770417.0,4611186799.25,5413203103.75,6605503463.0,7268829136.75,7003584096.5,6624926118.5,6572612040.5,7300420613.0,7913939016.25,11302238902.5,13678879952.75
DNK,46686694599.25,46630127710.75,47100417063.5,48961165818.0,52743906785.25,59226674830.5,66835800402.5,75300339624.75,83891603244.5,93338393046.25,95611248374.25,96986326228.0,100292556417.25,98096316767.5,102397513939.25,105754182216.25,100769802229.5,97801963560.0,95243924972.25,94690242097.5,98367784229.0,101469056475.5,107521386958.0
DOM,4619885545.75,4804533270.25,4724446562.5,4816444058.5,5056617933.5,5361723903.0,5821707277.25,6273519871.0,6825085258.5,7197462856.75,7214649076.5,7215606658.0,7469511791.75,7844653904.75,8700632322.75,9629280590.75,9853167759.25,10112200182.75,10227106772.75,10242550106.25,10310649540.75,10534285234.25,11205879572.25
ECU,5088085938.5,5106632719.75,4984112823.5,5198061478.0,5640081733.75,6425570281.5,7850913859.75,9837731271.5,11852402389.75,14720576137.75,15657662630.25,16854595333.75,19015956524.5,20199231904.0,23032230185.25,25188966503.5,24123438469.5,22333155770.5,20761037321.0,19585948505.5,20532499480.25,21360300190.25,23262426990.25
EGY,5955216826.25,5926113576.5,5879216849.5,6312661082.75,7187587072.0,8536115248.0,10782937652.0,14268609134.75,18046416822.75,23867092913.75,27379647403.25,30446815842.0,34523895711.0,35324495043.0,36903256122.75,36993772833.0,33872102625.0,31477246279.5,30637097168.0,31300753399.75,33487964577.25,34742399148.25,37828759928.0
SLV,1739770430.0,1838309736.25,1784759606.0,1795319726.75,1753217826.75,1762869435.25,2229440103.5,2786316600.25,3448678488.0,4177019343.0,4281231865.25,4487555591.75,4850620483.0,5037880485.25,5474900655.75,5670175195.0,5676267007.75,5696555772.5,5796583238.75,5989614740.5,6121271340.0,6019871846.25,6187413718.75
GNQ,375499538.25,609879608.25,925281368.75,1245268937.75,1696026713.5,2359857927.75,3418070991.25,4857916918.75,6316540795.5,8958470866.0,9524279136.0,9787134090.25,10680169197.0,10528564400.0,11794925938.5,12607240580.75,11143489478.5,8740352980.75,6599595276.25,5115276161.5,4750450758.5,4391570095.5,4367582374.25
EST,3142387932.0,3638233556.5,3918728445.75,4191348563.0,4858195237.25,5529038595.0,6595587493.5,8060065099.25,9514167512.25,11136484488.75,11570899385.5,12200338628.75,13897194337.0,14984136638.75,16914324194.75,18114155125.25,16978390026.0,16036489345.25,15432861015.5,15451987470.5,16191523524.25,16844114227.25,18402608972.75
SWZ,,250522412.25,515543641.0,898870365.25,1430983771.25,1710087074.0,1902777068.75,2046630011.5,2021442111.0,1943648125.5,1940955299.0,1956773177.25,2012398899.75,2092049732.25,2202243694.5,2231781661.75,2148339969.25,2052856318.75,1995218422.25,1945053846.5,2369401072.75,2419521528.75,2538840156.0
ETH,610887340.0,645812137.5,589390624.0,543813099.5,578152313.75,613064874.0,686591363.5,755674030.5,903790059.0,1079971052.75,1223068367.0,1475122393.0,1819777941.25,2248324362.75,2617414905.5,3059601358.5,3261213700.0,3270101136.75,3418996133.0,3230643461.5,3146278566.75,3221368080.25,3464381710.75
FIN,42667786442.75,43927424301.25,44727840277.75,45197194102.25,48004116532.75,52074321692.5,57723014802.75,66162131645.0,75652003307.75,84954103388.75,84225531549.25,82465812435.5,79763337033.75,73806527497.0,76885872281.75,77926530943.5,73186957985.0,69069464410.5,67310270851.0,67431535281.5,70539395111.75,72491447297.0,75642330725.25
FRA,291185069060.5,293849086571.75,296406766264.75,298316408991.75,313576084695.5,343866467559.0,380216420485.25,424791029402.5,470851893174.0,516813618541.75,524982771818.75,533032389893.75,544374959027.5,536417548190.25,562657838931.5,578632115746.75,556276205596.75,537676232079.25,526185247834.75,523845203610.0,538352461588.0,533174510787.75,542987982171.5
GAB,3021576652.0,3065267668.75,2921330979.25,3057961200.75,3231609195.0,3377757815.75,3897638059.5,4358597043.5,5093315237.5,6418314507.75,6550435749.75,6967991063.5,8024335098.5,8220449105.25,9457335131.75,10278264760.75,8966688167.0,7334796119.25,5908186444.0,4973500373.0,5234905845.0,5416521649.75,5687275383.25
GEO,348390817.75,422123321.0,472919306.25,542213114.0,666883930.75,799062391.5,1010472393.25,1299289210.0,1547706754.0,1864068067.5,1945096032.0,2142125373.25,2503766145.0,2734152761.5,3178504930.5,3412606868.0,3264320027.0,3084692823.0,3019048326.75,3114804544.25,3489213595.5,3822285519.0,4256364708.25
DEU,512330243764.0,517653817685.75,533455676878.25,552143649491.25,598082213730.0,682115797921.5,780915798673.75,902583512788.25,1039037776120.75,1177508701249.25,1211209194571.0,1245525950374.75,1291712518857.0,1280120502656.75,1359527661973.25,1414486918953.5,1372757215992.0,1351861679579.75,1350508679862.0,1366136944970.75,1407506963917.75,1419281488330.25,1460005196266.0
GHA,2029981939.0,1979000350.5,2028532746.25,1965949242.75,2024598589.25,1994844638.75,2481888025.5,3198058718.5,3897538826.75,4868294739.75,5549354409.75,6368325774.5,8888304821.5,12024327876.75,14847929762.5,17274044658.25,17218648618.75,16576624881.0,16366936607.5,17174145020.25,18897705530.25,18223198155.5,17473774017.25
GRC,11571515745.0,11378872202.25,11293168265.0,11318030235.75,12091117872.0,13356808476.5,15216376932.0,17985261574.75,20663900059.25,24338046372.0,25911178123.0,27325003304.5,29247779846.75,29854437824.75,32375732878.25,34096802336.5,33052568329.25,31678473761.5,30890304973.75,31832810835.25,33910556735.75,35864680922.75,48400788162.25
GTM,2767581222.75,3281259340.25,3345430410.0,3362286530.5,3439643010.75,3214135977.25,3793679286.5,4089218238.25,5032544774.75,6154406616.25,6777772923.0,8049591373.5,9166797009.0,9917526718.25,10727417894.25,11360460015.0,11417508662.5,11510544199.25,11710565200.25,11565522359.25,11584009546.75,11772586631.75,12357767171.25
GIN,986475136.5,986299445.75,1005509996.5,1011345590.25,991948403.0,988432263.5,1061853908.5,1149426711.25,1482759080.0,1821258155.0,1721246998.0,1842650334.5,1752527602.0,1644290490.75,2079827975.25,2436216869.75,2640507426.25,3114383678.5,3884231165.5,4508259447.5,5371002854.5,7313298703.75,8235801570.25
HTI,282976813.0,310327191.25,318698485.75,311037889.25,320111694.25,349760428.5,410969532.75,494838941.5,564684102.5,614894068.0,642128084.25,658932389.0,720070809.25,797873418.25,896057901.75,996191058.0,1060285002.0,1098935782.5,1122701140.0,1160276201.0,1205021619.0,1184145707.0,1239730084.25
HND,2885605235.5,3122992404.25,3096245802.0,3010414983.75,3099139392.5,3118900367.0,3270612911.5,3719537957.5,4233265955.75,4964205268.75,5349571456.0,5659694734.75,6161043399.0,6606636085.5,7307760240.0,7828896615.75,7848756715.5,7720194053.0,7821527352.75,7522986964.0,7670464579.75,7670622627.25,7873019652.0
HKG,63896170625.5,63994927979.25,62901621081.5,63669313734.75,65454393898.0,68550628587.5,73828897361.25,79350584238.5,84831965976.5,90408959590.5,90892056520.0,93433125950.25,102282208836.25,112246216067.5,131815729259.5,142643752075.75,137189725871.0,131719886308.5,121342200738.5,115214700050.0,118212029090.5,120071478835.25,121187978688.5
HUN,21242676372.5,25039744282.5,28043484555.5,30791738033.25,35133322286.25,41558714153.75,48791769804.75,58016010803.0,70059168970.5,82124150092.25,86677245975.75,91741095560.0,95810439912.0,94836401518.75,101654983916.5,106420514745.0,104563017760.75,105353009972.75,106778937146.5,109430206375.5,114586009438.0,118244047382.75,124520729753.5
IND,39564223510.75,41610477778.0,43396475254.75,47394171164.0,53536708302.75,63107585494.0,78242738002.75,97096967967.5,121155566490.5,150073789705.75,168139416233.5,193829702800.5,228077903255.0,251008009711.5,286309731804.0,308110126913.0,300867177396.75,294200421631.5,288891480966.5,291011423522.0,305859485833.5,310889571482.0,336618265563.75
IDN,55152441149.75,58774649328.0,60868922349.5,64331529134.25,68689830188.5,72628092751.75,81238614648.0,93816329922.75,109648481219.25,129412117681.0,138534306754.5,152772112789.5,173681596379.25,184697448785.25,200573753998.75,205526746043.25,192377391343.5,180394362559.25,177465558650.25,178532744137.75,182920415715.0,187253251041.75,202345886287.0
IRN,15441894069.0,17690416076.75,19195553606.5,21544974974.0,25071514908.5,28087251564.25,35081065444.25,47424941925.75,57662061925.75,70978944112.5,72206819786.5,78379243294.5,92192929350.0,86656397350.75,95824677122.5,96587035756.0,79402770367.0,77872656003.5,74874741943.5,71793129194.75,63758896271.25,50766863435.5,34065779485.0
IRQ,4257610161.0,7910723773.25,9730075155.5,10762862250.5,10384793622.0,10875238036.5,12428562309.0,16698092712.5,22866267881.75,32171902709.0,36512669829.0,41296535009.5,50278304464.25,57912092230.75,69737606030.75,78124661864.0,73295780250.0,63358537514.25,58613346725.5,60764475731.5,68819468048.25,72344424447.0,77109521545.75
IRL,57524504006.0,65725535367.5,74349746002.0,83580913233.0,93430402576.5,104113241667.0,115296031936.0,123363270338.5,132099706472.5,138039168995.5,138609123651.75,141742129149.0,144437487324.25,143412112644.5,145057117020.25,144142376919.75,141721463598.75,145052445868.75,150865642465.25,161647003176.25,172677290334.5,184166093421.0,196546035088.25
ISR,24471410458.0,27109588299.75,28714409798.0,30066359672.0,31294374551.25,32878326829.75,36260748307.5,40685831898.0,46801077945.5,53549462656.0,55668070762.25,59473320742.0,63555926077.75,64402583100.25,69313632845.5,71733447014.25,70327171405.75,68550994378.0,66059432063.0,63781533761.5,60919598462.0,58160805752.5,58702192959.5
ITA,240139196646.5,237111560801.5,238313179606.75,240858938238.25,255714585318.75,282537984451.25,313442278890.25,352883613178.0,402556126920.75,449446004437.25,458413310018.0,466739952759.0,473036830582.5,463775190404.25,491319964937.0,510658978461.75,494303471713.75,484526947272.5,481977891650.25,487285137352.5,505731333964.0,512898713034.0,537009979677.5
JAM,1703120925.0,1663319281.0,1598607105.25,1533513291.25,1482275174.75,1494563404.5,1533565399.75,1713704520.75,1969389295.25,2219052692.5,2174394740.5,2002216962.5,1852879203.25,1652079042.75,1727904781.5,1766430510.75,1658782900.25,1543176936.75,1472974856.5,1595027171.5,1702182911.25,1705726059.0,1716598468.0
JPN,414610094306.25,430925996668.0,426659829015.75,433785038627.75,447351784382.5,468405944696.25,515288184500.25,571352077880.5,630859257290.0,684798285259.25,681459386802.0,710798073949.5,737691457617.0,742654876994.5,776232538718.75,758154915778.25,708792004099.25,668564614887.5,662986563487.0,672972716893.5,691042868514.0,686102398836.25,695112840751.75
JOR,1483756204.0,1793129983.75,2006879038.0,2427810375.25,2888452817.75,3564866108.0,4228139341.0,4855953283.5,5596487361.0,6590128708.5,7011984596.5,7434595876.75,8057996072.5,8098313076.75,8557384554.25,8997330740.5,9172211749.5,9170401774.0,9176497358.0,8965759051.75,8742385249.25,8974164359.25,9787432709.75
KAZ,4628088654.25,6006937114.5,7237857720.25,8926204189.5,11247380592.5,14055385926.0,18700776325.5,25751752507.5,34639109906.75,47592618716.5,51419646291.25,56249587340.0,65842871353.0,70768508992.0,81081808330.25,86294935978.75,75909194296.5,62106654775.0,53507557946.5,49596945403.5,53069803697.25,56420333324.25,57164662450.75
KEN,1945697389.0,1961587352.5,1885361898.75,1758089203.25,1986564561.75,2287668022.75,2747745805.25,3278569936.0,3708573438.25,4433424751.5,4725495513.75,5171036817.75,5300209261.75,5180043229.0,5546843844.0,5729709826.75,6069299067.5,6232905300.5,6191007916.75,6296455929.25,6265439841.5,6425829785.5,6687482534.75
KWT,10164889253.0,11839425247.0,12681638110.75,14073515043.75,15726959172.25,17413627798.25,22567981737.75,30721135627.75,39183485940.5,52356431996.0,55641834047.25,59577027950.25,68542013328.0,74920442539.25,87623239825.0,95069848606.5,86490028136.0,71160402061.25,59238700319.75,53219315317.0,54913747430.25,55094538730.75,56845496775.0
KGZ,417541420.25,390166281.5,440268536.75,457859443.0,532107608.75,583628539.75,639067344.0,721745872.5,863489782.75,991355854.5,1078405249.0,1275466285.0,1489547296.75,1606493276.5,1807236868.5,1889246498.5,1724594342.5,1682203178.75,1733325845.0,1923233858.75,2309791853.0,2636962138.25,2713469144.75
LAO,233370742.5,253132722.25,271406552.5,304572937.5,336941821.75,356530925.5,422612934.5,605172467.5,802074099.0,1041977835.5,1241644085.25,1656388563.25,2154629687.75,2674933354.5,3488362343.0,3979018831.25,4322466239.75,4703441802.5,4964256866.25,5447159777.75,5982024134.0,6371673392.5,7255871793.0
LVA,2483769812.75,2512692750.0,2532261303.5,2624792105.75,2964660688.25,3614371011.75,4413214373.0,5406143302.75,6806055947.25,8354876260.25,8888455396.25,9642457827.25,10481134522.0,10899030608.0,12260038641.0,13422148324.25,13270094615.75,13051192217.75,13121802302.5,13515974119.5,14278843368.75,15278872951.25,16820343015.0
LBN,812134435.5,909742928.5,967925443.5,1090248533.5,1336226398.25,1644739007.75,1946562250.75,2305043475.5,2703806633.5,3236657131.5,3655380904.25,4177157161.5,4654254236.5,4825898166.5,4999205588.75,4840847627.0,4399924814.0,4041488734.25,3776334656.0,3636975298.75,3741888660.5,3911524834.75,4201315622.25
LSO,,113874603.0,227056016.75,373080025.75,600775793.25,732760895.75,747841047.5,737509849.25,696079361.75,570422870.25,636414747.75,689528273.0,795274533.0,917909978.75,919098788.75,1063860250.0,1028693100.75,1019924606.25,1110556142.75,1097125106.5,1125282451.5,1133221060.25,1114020094.5
LBR,1002515501.75,911315011.25,896118054.25,786809852.0,856765518.0,930159496.0,1028789593.0,1247738043.0,1270007984.75,1305323607.0,1280038886.75,1104176627.0,1084912160.75,1098153071.75,1083743897.0,1190409970.0,1377402593.25,1328243575.25,1318417377.0,1316946492.5,1356617822.5,1351959280.75,1437594907.75
LBY,8248524975.0,8927367095.5,9419167840.0,10218543109.0,11630126016.0,13208948646.75,17307213033.0,24007195326.75,29822542682.0,37806388535.0,39217962804.0,39822106850.25,34877049878.0,35398838429.75,36824952909.75,31882344508.0,30237775998.5,21823067787.25,16536503562.0,19388445613.5,23403531182.25,20796649475.75,24071704883.5
LTU,3846386329.25,3954050231.75,4090722039.75,4527868585.5,5681486897.75,7055075939.5,8915526672.5,11006202850.0,13284785639.75,16873478745.25,17905784051.75,19563990391.5,22270184255.75,23655002376.75,27536241252.75,30484639271.5,29744651221.0,28517878034.0,27909578174.75,27958733291.75,29884337847.0,32064373126.0,34905046228.5
MDG,530840377.75,644742449.0,770840142.25,835252238.0,963583974.0,1014193759.75,998503112.5,1083897519.5,1161689170.5,1300312613.5,1352903900.75,1366413803.75,1364972720.75,1346090744.0,1560392064.5,1926031779.25,2209675550.75,2469842005.75,2783767942.5,3001542253.75,3165929384.5,3114352650.25,3097012340.25
MYS,83665126004.5,89634289119.25,92994356877.0,98983691581.0,105515909927.75,113283148716.0,126815321118.0,144756309665.5,165040322318.0,181909590467.0,187097080201.75,198577429925.25,212288097877.75,224553815119.0,244187786530.5,253644933861.0,247069125958.5,236739833836.75,237512357517.75,243483785229.5,255470025786.75,268563967213.0,288403290598.75
MLI,547682417.75,584917443.0,670439766.75,742129564.5,827578060.0,924021029.25,1003200772.5,1192132507.0,1326476878.0,1562475557.25,1326682312.5,1437683516.0,1700090469.0,2192865937.25,2900036564.5,3184674391.75,3441226633.25,3466633415.0,3351643138.5,3259058474.75,3581054912.25,3839568047.5,5546067460.25
MRT,578486156.5,578155521.0,580472129.5,613411490.0,643441159.75,715926779.5,828958421.0,1061453610.25,1366799054.0,1835052653.0,2097991852.5,2423673454.5,2808409801.0,3126909078.0,3810593202.25,4164009604.0,4062311546.75,3805708715.0,3446155931.25,3443918881.0,3780413268.0,3981299817.75,4164094858.75
MUS,1810010736.25,1783295976.5,1786327732.25,1790674314.25,1868856976.25,1965072722.5,2070562480.75,2196100460.0,2264606678.5,2347200459.5,2327829255.5,2309472147.25,2397589393.0,2454075275.25,2642424302.0,2853516880.75,3017490441.25,3075528158.0,3019494892.5,2928504532.25,2727320335.75,2520103648.25,2417909002.0
MEX,113695609781.5,130799636303.5,142434124042.25,152946921924.0,161252039170.25,168306427163.5,182938841679.75,206223802454.0,232163714363.5,258053798752.5,262490806377.5,274864700680.0,295210599870.25,316074949291.25,354655924755.5,380033924883.5,389018975156.5,388866009828.5,398890027536.5,414821620611.75,437864904219.5,450130052096.5,461826648681.75
MDA,933522215.5,863876059.0,757483744.25,752271376.25,835785471.5,986366338.5,1170348245.25,1325244663.25,1555216320.25,1760444834.75,1787213024.75,1917442274.0,2131123046.75,2283674591.5,2587283965.25,2817880056.5,2715236721.75,2618083232.75,2633118544.0,2758817549.5,2993594643.25,3152373820.0,3400831600.5
MNG,511677467.75,494934548.0,498484332.75,526298374.25,595094989.5,693930881.5,842151067.0,1124218405.75,1478915556.5,1721837164.0,1818968098.0,2115673260.5,2578422315.75,3088569040.75,3868457017.75,4704246357.25,5017016983.25,5459487504.5,6047495383.75,6424712714.5,7165673776.75,7847157722.5,8703442394.5
