Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HRV,3409.75,3685.25,3957.5,4205.75,4961.25,5434.75,6406.25,7173.0,8118.0,9301.0,10181.0,11160.0,12079.5,12639.5,13026.5,13490.75,13998.75,14465.25,14985.0,15874.75,16677.5,18268.5,19836.25
CUB,1552.75,1798.75,2029.5,2184.25,2224.0,2246.0,2387.75,2750.0,2935.75,3309.0,3524.25,3564.25,3697.25,3819.25,3901.75,4068.0,3965.75,3688.75,3608.25,3501.0,3372.0,3188.25,3103.75
CYP,209.5,272.75,328.5,379.25,442.5,553.25,737.5,978.75,1279.5,1580.75,1991.0,2466.5,2884.0,3267.75,3678.5,3946.75,4314.0,4914.75,5375.0,6073.75,6888.5,7771.75,8723.0
CZE,13684.0,14344.25,15123.0,16211.0,17522.0,19018.5,20824.5,23276.25,26167.0,29123.5,32057.5,34796.5,37442.5,40026.5,43035.75,46815.75,51860.0,56975.0,61368.5,63963.75,65492.5,66631.0,69043.75
CIV,203.5,225.0,219.5,203.25,223.25,236.5,239.75,264.5,274.5,325.5,398.75,555.25,614.5,573.75,440.25,383.75,428.75,464.5,506.0,644.0,676.5,758.5,896.5
COD,12.75,12.0,12.0,12.0,,,,,,4.5,12.0,15.25,25.0,34.25,32.75,32.5,40.5,42.25,72.0,116.75,164.5,252.75,362.75
DNK,22029.75,23172.0,23552.25,24138.75,25301.0,26520.25,28200.0,30252.0,32085.25,33954.0,36195.5,38612.25,41752.75,45366.75,48837.25,53250.5,57894.75,62257.25,66130.75,69386.75,72003.25,75326.5,79491.25
DOM,12.0,12.75,9.5,13.0,12.25,9.25,8.5,10.25,25.25,22.25,25.75,26.0,22.0,22.75,45.25,53.0,51.5,64.75,65.0,81.0,91.25,106.75,147.25
ECU,140.0,155.0,140.75,174.75,215.0,279.5,345.25,379.75,403.25,466.5,556.25,650.25,704.25,828.75,927.25,1219.0,2037.25,3391.75,5216.0,7963.25,10176.75,12288.0,13765.75
EGY,7246.0,7567.75,7950.25,8435.25,9361.5,10025.75,10646.75,11645.0,12590.25,14092.0,16497.75,18938.75,21927.5,25264.75,28508.5,32301.25,36494.75,41968.75,46146.5,51169.5,58254.25,66631.5,79795.0
SLV,,,,,8.0,5.5,9.0,16.5,17.5,14.5,16.75,25.5,31.25,44.75,38.0,46.75,53.75,43.5,50.75,48.0,41.0,33.75,18.75
EST,1358.25,1396.75,1510.75,1544.25,1603.0,1804.75,1951.5,2270.0,2746.5,3164.75,3559.25,4041.75,4435.75,4808.5,5282.75,5753.0,6230.25,6755.5,7211.5,7597.0,8208.5,8950.0,9770.25
SWZ,,,,,,,,,6.75,4.25,14.0,25.5,27.5,38.75,45.75,34.75,46.25,47.0,62.75,86.25,76.75,68.0,54.25
ETH,389.25,381.75,396.5,407.25,450.5,532.5,632.25,777.75,918.75,1036.5,1173.5,1300.0,1510.25,1762.25,2111.0,2595.25,3092.0,3609.25,4542.5,5581.25,7058.5,9378.25,12389.75
FIN,21084.75,22289.5,23392.5,24377.0,25979.25,27206.0,28668.5,30476.5,32123.25,33756.5,35507.75,36766.75,38086.0,39427.25,40820.75,43240.75,46061.25,49549.5,51738.25,53364.5,55177.0,56558.0,59400.0
