Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MOZ,208772100,185989153,200495967,189785256,184724277,538089756,910846298,1064163228,1068676333,2606299598,3152195648,2696359732,3002346623,3918485281,2335736984,3939258945,5054692171,5598905211,6473169896,6597059914,5350322103,4679077059,7659984699,9279702141,6534697763,5569944597,8606639875,11323641507
MRT,581425376,629614665,620106771,538484665,570057791,604758138,605093658,629966453,682229212,902699482,1070927986,1513565556,1921213578,2774998100,2095608930,2863616779,3417436369,3506099046,4754130634,4227413092,3058583079,3032190675,3398343276,4343408955,4522351153,3770451314,4078263348,4796393338
MUS,583797311,656188875,622775515,627121701,538861403,492781886,586653492,644002354,704651741,742701192,835061776,907561597,935518860,1057913811,923744913,1144573061,1183850257,1290043921,1494531258,1407381897,1716338389,1522217709,1367133866,1367072523,1258607566,1008620613,1026146604,1302867185
MWI,414126164,506024062,560023369,538135669,479212216,471544958,495470150,484860831,551785652,512159896,611269425,726156890,919197284,885224470,1262621970,1157745050,1376244959,1198386333,1131384707,1141476705,1018591008,1085682161,869348957,880034622,941939067,886114225,1101433866,1085085289
NAM,NaN,NaN,NaN,NaN,NaN,1348519824,1440413275,1294771970,1381243295,2346844176,2659025606,3410897519,3695683441,4780649229,5601410253,5138307467,5527712120,4654968942,5112366259,4998000271,4664988765,4602982569,5280441852,5855518984,5874244277,3752061169,3960592421,4691421521
NER,248751874,348796757,363170208,322560941,333413243,378274830,274755334,214655243,212536928,309061580,278071516,299708780,257130384,506800735,387528972,449901092,718165366,681234107,2057449333,660574869,754982866,547018132,669472068,880193853,1365110980,2531817955,3627515930,3018733070
NGA,11959605579,16745930956,17267132912,11300072368,14607320093,22569584752,22148105176,19103344912,26637469647,32936123187,44474315280,61272788804,71664184555,88980555032,60130081297,92004179940,1.30018E+11,1.2539E+11,1.00812E+11,97338551307,54753799465,38001818659,48687838922,62321391312,59987368621,40240513370,54912205020,67346448859
RWA,42298768,65959395,119408579,111061901,84831910,53346270,102979188,116271858,140451067,390561110,178380022,174998762,253570402,471516560,243176164,315569125,499176879,537358851,637316972,685512459,532609495,646930534,1091146710,1491691537,1113808915,1269471537,1231579169,1594544067
SDN,594462740,370120384,505653090,584676931,521803647,3080836146,2983996383,2651868996,4103785451,6235815189,8492587610,6969600492,11434416658,12077456366,8158781018,11924515683,10216042187,5687196789,13148333757,5781382478,5164914032,4212043759,5224495223,4404926134,3933589344,3932682245,5236088498,5122577885
SEN,445327415,466582551,478158880,532437089,570144575,630038877,597236986,628734162,740416997,784540467,836730582,1022925403,1264954440,1415841183,1411134309,1636794573,1997131791,1977434477,2162583273,2241937843,2063474432,2282982726,2611875921,3091629195,3564865247,3229015430,4172982636,4720277774
SLE,173189173,183571670,181816310,103059096,49871758,40531331,41573410,72784452,137709825,169822753,184987183,233953836,309835340,301283446,195755239,272607695,391340205,798829525,1571813772,2126502736,551293385,859720043,789935846,661494745,622182124,492699048,807292879,1097205079
SSD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,646193090,2470670730,4398969716,2337130902,1474532143,1341690330,1718939604,1737492189,854706993,569616989,542480112
