Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FRA,5584.0,6647.25,7766.25,8855.25,9763.75,10681.75,11312.25,12271.25,13330.75,14204.75,15420.5,16348.5,17123.0,18380.25,19305.75,20248.25,21167.75,21652.75,21786.25,21485.75,21220.0,17835.5,12593.75
GEO,4.75,8.25,18.0,21.25,24.5,23.25,18.0,21.0,22.5,27.5,28.5,23.75,21.25,18.25,16.5,18.25,18.5,21.5,20.25,21.5,23.75,17.5,13.0
HKG,81.0,86.75,130.5,184.0,255.5,360.0,420.75,500.5,604.0,713.25,820.25,886.0,952.75,937.5,982.25,1044.0,1099.5,1193.75,1329.75,1558.5,1727.0,1429.0,1022.0
HRV,13.0,32.25,53.0,77.0,105.25,113.5,126.5,136.5,135.0,139.25,138.75,127.0,118.5,116.75,107.5,107.25,111.5,106.25,105.0,109.75,114.5,98.75,73.25
HUN,193.5,218.5,262.75,289.0,331.25,368.0,382.25,401.0,423.25,464.5,504.5,536.25,548.75,567.25,586.0,594.0,631.75,670.5,701.75,731.25,739.5,653.5,472.0
IDN,9.5,12.5,22.25,27.0,31.5,32.25,29.75,35.75,40.5,50.5,53.75,52.0,56.25,53.75,55.25,64.0,70.5,73.0,75.5,70.0,62.0,51.25,33.0
IRL,250.25,317.0,390.75,448.5,515.75,552.5,599.5,661.25,740.25,840.75,932.5,1021.75,1022.0,1004.0,1021.0,1059.0,1112.75,1213.5,1275.75,1337.75,1406.5,1193.0,848.25
ISR,1255.75,1603.5,2094.0,2455.5,2760.75,2974.25,3052.75,3270.0,3546.75,3862.5,4153.25,4144.25,4098.75,4032.5,4103.25,4488.25,4822.0,5213.0,5501.0,5700.0,5854.5,4652.5,3182.0
IND,94.75,164.5,285.25,448.5,711.5,1075.5,1404.75,1750.25,2086.0,2260.0,2565.5,2823.75,3208.5,3727.0,4222.5,4867.75,5245.5,5597.5,5863.5,6124.75,6490.5,5327.75,3803.0
IRN,8.0,7.75,5.75,10.0,9.0,11.75,13.75,12.5,14.5,15.0,18.5,16.75,17.5,18.25,15.5,23.0,33.75,60.25,95.0,135.0,183.75,157.25,120.5
ITA,1876.0,2229.75,2710.0,3129.0,3681.0,4196.25,4546.25,5065.25,5555.75,6040.25,6596.5,6785.5,6956.75,7155.5,7335.75,7695.5,8003.0,8290.5,8534.25,8692.5,8830.0,7583.25,5389.25
JOR,,,4.25,4.5,4.25,,,4.25,9.5,27.0,35.5,38.75,33.75,18.75,10.0,11.25,12.5,11.0,13.5,11.0,21.25,21.5,18.0
