Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CRI,,,,,-1.14760617,-0.794100242,-0.138213842,0.435937948,0.155275491,-0.134502102,-0.415122609,-0.482488616,-0.650513647,-0.886437095,-0.574479884,-0.531976125,-0.389055087,-0.473417525,-0.741163968,-0.638371468,-0.623667971,-0.377971616,-0.307864237,-0.171990627,-0.471569593,-0.706220205,-0.715842974,
CIV,,,,,,,,,,-0.467220839,-1.034425076,,,,,,,,,,,,-2.067432713,-1.556949917,-1.716388841,,,
HRV,,,,,-0.604371417,0.360382515,0.570587505,0.81374622,0.77722994,0.670299633,0.681520166,0.774769492,0.850837935,0.670474683,0.655537118,0.477498048,0.435637422,0.43066181,0.274188558,0.2299875,0.313020835,0.387934905,0.40035404,0.413780596,0.361440888,0.341058512,0.167667501,
CUB,,,,,-2.523550425,-2.108516795,-2.216896956,-2.599430864,-2.215320305,-1.6719584,-1.540148279,-0.642190892,-1.158471485,-1.669767514,-1.526149695,-1.634730383,-1.537939105,-1.706292958,-1.737519863,-1.36535452,-1.325503994,-1.034436168,-1.462046551,-2.096459187,-2.075767113,-2.181753818,-2.120131142,
CZE,,,,,0.724092649,0.801307201,0.794406209,0.775147795,0.7070639,0.689554436,0.8007206,0.807283753,0.960427609,0.950354134,0.993472182,1.015422668,0.857977062,0.844460968,0.813652892,1.001188735,1.004464352,1.08101561,1.159028549,1.196492288,1.154045718,1.105068449,1.075192971,
COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,1.065681531,1.058577674,1.019692783,1.100436534,1.212544047,1.194041549,1.223228706,1.180446443,1.109014473,1.152521275,1.182547063,1.239658708,1.141862026,1.155222964,1.104250769,0.993426565,0.955759178,1.074803889,1.005344623,1.098311422,1.070397722,1.058367376,1.019166665,
DOM,,,,,,,,,,,,,,,,-1.411726809,-1.38131276,-1.20175696,-0.905886442,-0.627991431,-0.661551682,-1.030068731,-1.102726011,-0.957124938,-0.890871778,-1.012197701,-1.247906567,
ECU,,,,,-1.518249938,-0.920894267,-0.581688575,-0.918194669,-1.461437859,-1.53935332,-1.484550108,-0.517068992,-0.793644692,-0.582407266,-0.499877525,-0.915325793,-0.64947798,-0.437598727,-0.625194907,-0.63675379,-0.973357776,-1.361576036,-1.688543905,-0.708224095,-0.620680936,-1.02227308,-0.874140442,
EGY,,,,,-1.04114061,-0.544878296,-0.435435306,-0.415790886,-0.583370286,-0.598011915,-0.074468029,0.171470269,0.104996384,0.085769758,-0.022307972,0.172320586,0.240837148,0.072265824,-0.005526592,-0.075600925,-0.054537189,0.29606287,0.170059516,0.192694265,-0.041652271,-0.290574918,-0.596465423,
SLV,,,,,,,,,,,,,,,,,,,-0.227755503,-0.188397132,-0.32610887,,-0.71433241,,,,,
ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,,,,,1.215672757,1.23835617,1.302247485,1.36910919,1.411330688,1.511512622,1.594373008,1.514709048,1.371785535,1.46589743,1.505128142,1.47171688,1.294765681,1.381283183,1.365169138,1.350970598,1.305358106,1.387744245,1.32530028,1.334575908,1.390689784,1.349203702,1.380416004,
FRA,,,,,1.047223056,1.050757574,1.089519389,1.04882645,1.102130238,1.106053799,1.174674171,1.139286272,1.172268934,1.201336684,1.186430209,1.138636345,1.058090473,1.010228898,1.024537951,1.088474129,1.111340321,1.051518096,1.079112968,1.088544583,1.04545656,1.078811993,1.241381077,
GAB,,,,,,,,,,,,,,,,,,,,,,,-1.373383496,,,,,
GEO,,,,,-1.85266736,-1.304650714,-0.729705914,-0.639215206,-0.746992288,-0.952494133,-0.893779153,-0.513829247,-0.502975783,-0.528889392,-0.740408487,-1.037755423,-0.829335734,-1.021442682,-0.65348275,-0.512092534,-1.292356617,-0.74364839,-0.652228094,-0.557228705,-0.510094253,-0.716036023,-0.940936521,
DEU,,,,,1.042043026,1.051950616,1.101130898,1.081330583,1.156045878,1.245845893,1.274121948,1.307338367,1.381472061,1.344206614,1.244512257,1.229805446,1.108522982,1.12685302,1.319363559,1.426453311,1.433971203,1.401850687,1.449256675,1.478399142,1.446532623,1.513873482,1.550608672,
GHA,,,,,,-1.646146026,-1.77213541,,,,-1.645776776,-1.383728859,-1.345625689,-1.784169739,-1.722213222,,,,-1.156853432,-1.304023997,-1.822528857,-1.211642082,-1.246266401,-1.312851238,-1.154316807,-2.019038026,,
GRC,,,,,,,,,,,,,-0.733746432,-1.046965205,-0.992116757,-1.38536658,-0.73079967,-0.763892122,-0.446421475,-0.839464064,-1.48163274,-1.12872577,-0.885833974,-0.348780058,-0.511357154,-1.022147264,,
GTM,,,,,,,,-1.216703197,,,-1.105154162,,,-1.177823575,,-0.856642384,-0.977096466,-0.849380828,-0.754748035,,,-0.900137056,-1.24316634,-1.346682399,-1.036663655,-1.275616716,,
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,,,,,0.493540357,0.381914385,0.661213347,0.75099773,0.65148295,0.915069967,0.83026505,0.839173891,0.947529714,1.030384564,1.039864806,1.140925224,0.989509275,0.840323856,0.822222561,0.970302269,1.042938103,1.08804421,1.043146724,0.78436402,0.609533513,0.634364696,0.662412125,
HUN,,,,,0.687605408,0.763393631,0.847572625,0.733936533,0.786206018,0.865848186,0.977248953,0.81911143,0.751106817,0.76655324,0.725504006,0.758783819,0.791237703,0.905413954,0.826032022,0.981401611,0.855958251,0.746945684,0.835566679,0.82978536,0.837735525,0.945986423,0.792319769,
